Food Secure,Age,Sex,Household Size,18&below,60&above,Annual Income,Garden,Garden Size,No. of Crops,Top 3 Crops,Garden Annual Income
0,33,0,5,2,0,182500,1,4,5,"Alugbati, Luya, Sibuyas",0
0,38,0,6,4,0,60000,1,6,3,"Sibuyas, Alugbati, Luya",0
1,33,0,4,2,0,1825000,0,n/a,n/a,n/a,n/a
1,49,0,6,2,0,1440000,0,n/a,n/a,n/a,n/a
0,29,0,4,2,0,127750,1,1,1,Alugbati,0
0,30,0,3,1,0,365000,1,6,5,"Sibuyas, Alugbati, Talong",0
0,40,0,4,0,0,365000,1,5,2,"Sibuyas, Sili",0
1,44,0,4,2,0,720000,1,1000,4,"Sili, Sibuyas, Talong",0
0,48,0,5,2,0,109500,1,25,1,Kamunggay,0
0,23,0,3,1,0,127750,1,4,2,"Alugbati, Talong",0
1,24,0,3,1,0,1440000,0,n/a,n/a,n/a,n/a
1,54,0,1,0,0,240000,0,n/a,n/a,n/a,n/a
1,51,0,5,1,0,240000,0,n/a,n/a,n/a,n/a
0,64,1,5,1,2,182500,1,6,5,"Talong, Okra, Sibuyas ",0
0,24,0,8,3,1,345600,1,1,2,"Talong, Kamunggay",0
1,33,0,4,2,0,480000,1,4,3,"Sibuyas, Sili, Okra",0
0,53,0,3,1,0,300000,0,n/a,n/a,n/a,n/a
0,60,1,5,1,2,240000,1,50,1,Sayote,0
0,23,1,3,1,0,127750,0,n/a,n/a,n/a,n/a
1,29,0,3,1,0,1825000,0,n/a,n/a,n/a,n/a
1,25,0,3,1,0,150000,0,n/a,n/a,n/a,n/a
1,21,0,3,1,0,365000,1,1,2,"Alugbati, Saluyot",0
1,40,0,6,3,0,255500,1,49,1,Sayote,0
1,33,0,3,1,0,182500,0,n/a,n/a,n/a,n/a
1,41,0,5,0,0,600000,1,25,6,"Okra, Alugbati, Patola",0
0,36,0,4,2,0,127750,1,4,3,"Alugbati, Sibuyas, Talong",0
1,51,0,7,2,0,360000,0,n/a,n/a,n/a,n/a
0,31,0,6,3,0,219000,1,1,2,"Alugbati, Luya",0
0,60,1,3,0,1,120000,1,9,3,"Sayote, Alugbati, Sibuyas",0
1,40,0,7,3,2,1440000,0,n/a,n/a,n/a,n/a
1,62,0,5,0,2,300000,0,n/a,n/a,n/a,n/a
0,29,0,3,1,0,219000,1,2,2,"Luya, Talong",0
1,28,0,3,1,0,182500,0,n/a,n/a,n/a,n/a
1,33,0,5,0,0,720000,0,n/a,n/a,n/a,n/a
1,51,0,3,1,0,300000,0,n/a,n/a,n/a,n/a
0,23,1,3,1,0,127750,1,25,1,Sibuyas,0
1,37,1,3,1,0,219000,1,5,1,Sibuyas,0
1,24,0,4,1,0,2400000,0,n/a,n/a,n/a,n/a
0,55,1,3,0,0,150000,0,n/a,n/a,n/a,n/a
1,35,1,3,1,0,360000,0,n/a,n/a,n/a,n/a
0,25,1,5,3,0,255500,0,n/a,n/a,n/a,n/a
0,29,0,4,2,0,120000,0,n/a,n/a,n/a,n/a
0,44,0,4,2,0,109500,1,25,5,"Patola, Alugbati, Sayote",12000
0,30,0,6,4,0,91250,1,4,4,"Alugbati, Okra, Talong",0
1,49,1,5,2,0,480000,1,4,6,"Okra, Patola, Batong",0
1,30,1,6,4,0,300000,1,3,3,"Talong, Alugbati, Okra",0
0,23,0,4,2,0,91250,1,4,3,"Alugbati, Sibuyas, Talong",0
1,63,1,2,0,2,600000,0,n/a,n/a,n/a,n/a
1,36,0,4,2,0,2275000,0,n/a,n/a,n/a,n/a
1,47,1,4,0,0,600000,0,n/a,n/a,n/a,n/a
1,59,0,3,0,1,840000,0,n/a,n/a,n/a,n/a
0,54,1,7,2,0,153600,1,25,8,"Alugbati, Kangkong, Ampalaya",0
0,32,0,4,2,0,219000,1,4,4,"Patola, Sayote, Okra",0
0,43,0,5,3,0,108000,1,25,1,Kangkong,0
1,42,0,4,2,0,360000,0,n/a,n/a,n/a,n/a
1,31,0,3,1,0,600000,0,n/a,n/a,n/a,n/a
1,28,0,5,3,0,180000,1,4,2,"Sibuyas, Alugbati",0
1,23,0,3,1,0,182500,0,n/a,n/a,n/a,n/a
1,53,1,3,2,0,240000,1,2,5,"Talong, Alugbate, Gabi",0
1,46,1,1,0,0,127750,0,n/a,n/a,n/a,n/a
1,55,0,2,0,0,150000,1,6,2,"Upo, Batong",0
1,56,0,4,0,0,150000,0,n/a,n/a,n/a,n/a
0,19,0,3,1,0,109500,0,n/a,n/a,n/a,n/a
1,58,0,4,0,1,360000,1,15,1,Sayote,0
0,70,1,2,0,2,109500,1,1,2,"Batong, Gabi",0
0,41,0,3,1,0,90000,1,1,1,Sibuyas,0
0,32,0,6,0,0,127750,1,6,2,"Alugbati, Sayote",0
1,54,0,5,1,0,1200000,0,n/a,n/a,n/a,n/a
1,33,0,4,2,0,1095000,0,n/a,n/a,n/a,n/a
0,21,0,3,1,0,127750,1,4,3,"Alugbati, Sibuyas, Okra",0
1,18,1,5,3,0,110400,1,1,1,Sibuyas,0
1,31,0,3,1,0,182500,0,n/a,n/a,n/a,n/a
1,40,0,5,2,0,480000,1,3,2,"Alugbati, Batong",0
1,46,0,3,0,0,400000,0,n/a,n/a,n/a,n/a
0,24,0,3,1,0,109500,1,9,3,"Alugbati, Sayote, Sibuyas",0
1,45,0,4,1,0,960000,1,2,2,"Sibuyas, Alugbati",0
0,62,0,5,0,2,182500,1,1,1,Alugbati,0
0,53,0,6,1,0,600000,1,6,2,"Sayote, Luya",0
1,35,0,5,3,0,360000,0,n/a,n/a,n/a,n/a
0,25,0,3,2,0,109500,1,1,2,"Alugbati, Subayas",0
0,48,0,3,1,0,150000,1,6,5,"Alugbati, Sibuyas, Gabi",0
0,33,1,5,2,0,182500,0,n/a,n/a,n/a,n/a
1,65,1,6,2,2,960000,1,25,6,"Talong, Okra, Alugbati",0
0,48,0,5,2,0,288000,1,10,5,"Sibuyas, Gabi, Kangkong",0
0,20,0,4,2,0,96000,1,4,3,"Alugbati, Talong, Okra",0
1,44,0,5,2,0,450000,0,n/a,n/a,n/a,n/a
1,30,0,6,4,0,960000,0,n/a,n/a,n/a,n/a
0,20,0,4,2,0,192000,1,6,4,"Talong, Okra, Sibuyas ",0
1,51,0,5,0,0,600000,1,4,3,"Sibuyas, Gabi, Batong",0
0,36,0,4,2,0,150000,0,n/a,n/a,n/a,n/a
0,19,0,3,1,0,127750,1,9,4,"Talong, Alugbati, Sibuyas",0
0,25,0,9,3,1,240000,1,25,5,"Alugbati, Gabi, Talong",0
1,51,0,3,0,0,180000,1,4,3,"Alugbati, Sili, Talong",0
1,42,0,7,2,0,480000,1,50,3,"Kintaki, Alugbati, Sibuyas",24000
1,52,0,6,2,0,158400,1,100,1,Sayote,48000
1,30,0,5,3,0,240000,1,5,1,Sibuyas,0
1,63,0,4,0,1,192000,1,3,3,"Sayote, Talong, Batong",4800
0,23,0,3,1,0,127750,0,n/a,n/a,n/a,n/a
0,43,0,4,2,0,72000,1,2,3,"Sibuyas, Kamunggay, Luya",0
1,52,0,6,2,0,960000,1,6,5,"Alugbati, Sibuyas, Talong",0
0,23,0,3,1,0,108000,1,4,4,"Sibuyas, Alugbati, Batong",0
1,48,0,3,0,0,720000,0,n/a,n/a,n/a,n/a
0,61,1,6,2,1,96480,1,48,6,"Sayote, Siling Labuyo, Alugbati",1440
1,30,0,4,2,0,109500,0,n/a,n/a,n/a,n/a
1,59,0,3,1,0,600000,1,9,8,"Sayote, Alugbati",0
1,51,0,3,1,0,90000,1,10,5,"Talong, Sayote, Alugbati",0
1,32,1,4,0,0,100800,0,n/a,n/a,n/a,n/a
1,48,1,7,1,1,216000,1,6,1,Kamote Tops,0
0,38,0,5,1,1,73000,1,6,2,"Talong, Sayote",0
0,40,0,2,0,0,108000,0,n/a,n/a,n/a,n/a
0,51,0,3,1,0,120000,0,n/a,n/a,n/a,n/a
1,25,0,9,4,0,960000,1,19,9,"Kamote Tops, Sayote, Kangkong",0
0,28,0,6,1,0,62400,0,n/a,n/a,n/a,n/a
0,38,0,5,3,0,100000,1,12,8,"Sayote, Kamote, Gabi",0
1,26,0,8,4,0,86400,1,12,6,"Alugbati, Gabi, Sayote",0
0,31,1,8,3,0,960000,0,n/a,n/a,n/a,n/a
0,46,0,5,2,0,86400,1,3,2,"Gabi, Bisol",0
0,23,0,3,1,0,57600,0,n/a,n/a,n/a,n/a
1,25,0,6,1,0,720000,1,1,2,"Sibuyas, Kamunggay",0
1,27,0,4,2,0,102240,1,9,2,"Kamote Tops, Alugbati",0
1,25,0,5,2,1,72000,1,5,4,"Kamunggay, Sibuyas, Gabi",0
1,23,0,8,6,0,100000,0,n/a,n/a,n/a,n/a
1,31,1,4,2,0,57600,1,5,3,"Sibuyas, Kamunggay, Talong",0
0,28,0,5,3,0,67200,0,n/a,n/a,n/a,n/a
0,67,0,3,1,2,45000,0,n/a,n/a,n/a,n/a
0,59,1,5,3,0,480000,0,n/a,n/a,n/a,n/a
1,55,0,5,0,0,480000,0,n/a,n/a,n/a,n/a
1,48,0,5,2,0,365000,0,n/a,n/a,n/a,n/a
1,51,0,6,2,0,1200000,0,n/a,n/a,n/a,n/a
0,32,0,5,3,0,109500,1,1,2,"Sili, Alugbati",0
0,28,0,6,4,0,240000,0,n/a,n/a,n/a,n/a
0,29,0,4,2,0,365000,1,9,6,"Sili, Alugbati, Okra",4800
0,28,1,4,2,0,150000,0,n/a,n/a,n/a,n/a
1,47,0,5,2,0,547500,0,n/a,n/a,n/a,n/a
1,34,0,4,1,0,1440000,0,n/a,n/a,n/a,n/a
1,59,1,3,0,0,2400000,0,n/a,n/a,n/a,n/a
0,57,0,10,4,1,547500,0,n/a,n/a,n/a,n/a
0,24,0,3,1,0,100800,1,2,3,"Luya, Sili, Alugbati",0
1,53,0,2,0,0,180000,1,1,1,Alugbati,0
1,30,1,3,1,0,180000,1,9,3,"Kamunggay, Alugbati, Luya",0
0,21,0,3,1,0,104000,1,25,5,"Sayote, Gabi, Talong",0
0,36,0,4,2,0,90000,1,1,1,Sibuyas,0
0,25,0,3,1,0,300000,0,n/a,n/a,n/a,n/a
0,31,0,4,2,0,260000,1,2,3,"Alugbati, Kamunggay, Talong",0
0,53,0,6,2,0,180000,0,n/a,n/a,n/a,n/a
1,27,0,3,1,0,338000,0,n/a,n/a,n/a,n/a
